UID,Name,Nat,Club,2nd Nat,Division,Best Pos,Age,Transfer Value,xG/90,xG-OP,FA,Off,xG/shot,Cr C/90,Conv %,NP0xG/90,Gls/90,xA/90,Ch C/90,K Ps/90,Pres A/90,Dist/90,Cr C/A,Drb/90,Sprints/90,Blk/90,Int/90,K Hdrs/90,K Tck/90,Poss Won/90,Poss Lost/90,Tck/90,Tck R,Hdr %,xSv %,Pens Saved Ratio,Pas %,Sv %,Cln/90,Pr passes/90,Gl Mst,xGP/90,All/90,Inf,Rec
54201307,Ali Jassim,IRQ,QPR,,Sky Bet Championship,AM (R),23,$31M - $38M,0.34,3.37,107.00,29.00,0.12,0.20,0.16,0.34,0.44,0.21,0.35,0.70,7.87,7.6mi,0.16,1.57,7.02,0.09,0.73,0.00,0.00,1.77,15.90,1.07,0.74,0.20,0.00,0.00,0.85,0.00,0.00,0.64,0.00,0.00,0.00,,0 0 0
19406135,Martinelli,BRA,Bologna,ITA,Italian Serie A,DM,25,$31M - $38M,0.09,-1.77,22.00,1.00,0.10,0.00,0.00,0.09,0.00,0.15,0.15,1.51,9.50,8.1mi,0.00,1.11,12.42,0.40,1.86,0.10,0.30,13.73,6.23,2.21,0.79,0.59,0.00,0.00,0.91,0.00,0.00,5.48,0.00,0.00,0.00,,0 0 0
83227945,Vitinha,POR,OM,,Ligue 1 Uber Eats,ST (C),27,$31M - $37M,0.70,1.69,26.00,9.00,0.13,0.08,0.15,0.64,0.83,0.08,0.15,0.53,7.18,7.4mi,0.11,0.98,7.11,0.15,0.91,0.00,0.08,2.27,15.96,1.44,0.83,0.42,0.00,0.00,0.81,0.00,0.00,0.45,0.00,0.00,0.00,,0 0 0
43252773,Andrea Pinamonti,ITA,Sassuolo,,Italian Serie A,ST (C),27,$31M - $36M,0.35,1.52,79.00,14.00,0.12,0.10,0.14,0.33,0.41,0.08,0.03,0.88,6.96,7.5mi,0.16,0.71,6.73,0.10,0.81,0.07,0.00,1.72,19.30,1.79,0.79,0.37,0.00,0.00,0.82,0.00,0.00,0.98,0.00,0.00,0.00,,0 0 0
65039540,Lyle Foster,RSA,Burnley,,Sky Bet Championship,ST (C),26,$30M - $44M,0.37,9.07,58.00,21.00,0.11,0.04,0.21,0.33,0.74,0.08,0.12,0.66,7.58,7.2mi,0.07,1.52,6.43,0.25,1.39,0.16,0.00,3.11,17.17,1.23,0.73,0.44,0.00,0.00,0.86,0.00,0.00,1.15,0.00,0.00,0.00,,0 0 0
98040226,Noah Okafor,SUI,Crystal Palace,NGA,Sky Bet Championship,ST (C),26,$30M - $44M,0.27,4.15,96.00,16.00,0.12,0.19,0.17,0.27,0.39,0.12,0.17,0.91,6.47,7.4mi,0.20,1.21,7.13,0.19,1.05,0.06,0.03,2.62,13.41,1.43,0.78,0.23,0.00,0.00,0.87,0.00,0.00,1.05,0.00,0.00,0.00,Inj,0 0 0
95078288,Jesús Vázquez,ESP,Valencia,,Spanish First Division,D (L),24,$30M - $44M,0.03,-0.72,26.00,3.00,0.10,0.18,0.00,0.03,0.00,0.07,0.11,0.68,8.76,7.9mi,0.08,1.58,14.76,0.25,2.33,0.47,0.22,11.85,16.23,3.05,0.86,0.64,0.00,0.00,0.89,0.00,0.00,6.82,0.00,0.00,0.00,,0 0 0
29218612,Taylor Gardner-Hickman,ENG,Rangers,,cinch Premiership,M (C),25,$30M - $44M,0.04,-1.66,44.00,3.00,0.10,0.66,0.00,0.04,0.00,0.08,0.16,0.95,9.33,7.8mi,0.18,1.87,14.41,0.47,2.66,0.47,0.08,13.36,14.86,2.71,0.77,0.73,0.00,0.00,0.87,0.00,0.00,7.67,0.00,0.00,0.00,,0 0 0
95078290,Iván Azón,ESP,KRC Genk,,Jupiler Pro League,ST (C),24,$30M - $43M,0.45,5.64,100.00,40.00,0.12,0.16,0.15,0.45,0.58,0.05,0.20,0.44,7.32,7.2mi,0.31,0.93,7.21,0.20,1.22,0.04,0.00,2.55,15.11,1.31,0.81,0.38,0.00,0.00,0.84,0.00,0.00,0.51,0.00,0.00,0.00,Wnt,0 0 0
2000123626,Daniel Gore,ENG,Derby,,Sky Bet Championship,M (C),22,$30M - $42M,0.02,0.71,11.00,0.00,0.06,0.00,0.20,0.02,0.08,0.14,0.39,1.41,10.62,8.3mi,0.00,0.94,11.47,0.55,1.72,0.00,0.39,10.93,6.17,2.11,0.87,0.41,0.00,0.00,0.88,0.00,0.00,5.15,0.00,0.00,0.00,Sct,0 0 0
88026183,Marko Stameni?,NZL,Real Hispalis,SRB,Spanish First Division,M (C),25,$30M - $37M,0.07,-0.88,19.00,1.00,0.08,0.12,0.04,0.07,0.04,0.08,0.39,1.26,11.18,7.4mi,0.12,1.50,10.35,0.28,1.42,0.20,0.04,12.44,13.50,1.89,0.81,0.46,0.00,0.00,0.89,0.00,0.00,3.43,0.00,0.00,0.00,,0 0 0
27162493,Raphael Onyedika,NGA,Club Brugge,BEL,Jupiler Pro League,DM,26,$30M - $36M,0.12,-0.84,27.00,1.00,0.12,0.05,0.10,0.12,0.10,0.17,0.41,1.23,10.11,8.2mi,0.09,0.43,12.62,0.48,1.54,0.41,0.19,14.06,5.31,2.36,0.74,0.56,0.00,0.00,0.90,0.00,0.00,5.36,0.00,0.00,0.00,,0 0 0
25059349,Muhamed Tijani,NGA,1. FC Köln,CZE,Bundesliga,ST (C),26,$30M - $36M,0.42,-0.58,89.00,23.00,0.12,0.05,0.12,0.40,0.41,0.03,0.03,0.81,7.78,7.2mi,0.09,0.79,6.59,0.03,0.89,0.23,0.03,2.10,13.26,1.24,0.72,0.57,0.00,0.00,0.85,0.00,0.00,1.04,0.00,0.00,0.00,,0 0 0
2000090211,Antonio Nusa,NOR,Club Brugge,NGA,Jupiler Pro League,AM (R),22,$30M - $36M,0.24,-0.19,57.00,14.00,0.10,0.68,0.10,0.24,0.24,0.21,0.44,1.77,12.90,7.6mi,0.22,3.31,13.38,0.35,1.92,0.09,0.03,5.82,15.27,2.86,0.87,0.27,0.00,0.00,0.85,0.00,0.00,2.69,0.00,0.00,0.00,,0 0 0
96105337,Sebastian Walukiewicz,POL,Reims,,Ligue 1 Uber Eats,D (C),27,$30M - $36M,0.06,-0.32,12.00,0.00,0.11,0.00,0.08,0.06,0.05,0.17,0.14,0.37,4.69,7.4mi,0.00,0.33,7.29,0.37,1.91,0.60,0.28,15.38,3.58,1.39,0.73,0.67,0.00,0.00,0.94,0.00,0.00,4.41,0.00,0.00,0.00,,0 0 0
16337125,Leopold Querfeld,AUT,AZ,,Eredivisie,D (C),23,$30M - $35M,0.13,-3.13,25.00,2.00,0.13,0.08,0.07,0.13,0.06,0.06,0.17,0.31,4.03,7.4mi,0.44,0.23,6.52,0.37,1.85,0.77,0.29,16.27,4.11,1.50,0.79,0.69,0.00,0.00,0.91,0.00,0.00,4.78,0.00,0.00,0.00,,0 0 0
19260921,Diego Costa,BRA,Sporting CP,,Portuguese Premier League,D (C),27,$30M - $35M,0.06,0.72,8.00,1.00,0.11,0.00,0.17,0.06,0.09,0.08,0.04,0.31,4.04,7.2mi,0.00,0.22,5.78,0.53,2.18,0.49,0.31,15.24,2.93,1.69,0.84,0.73,0.00,0.00,0.92,0.00,0.00,4.36,0.00,0.00,0.00,,0 0 0
37065620,Brian Brobbey,NED,Ajax,GHA,Eredivisie,ST (C),25,$29M - $44M,0.48,0.33,36.00,8.00,0.15,0.20,0.16,0.48,0.50,0.12,0.50,1.19,9.94,7.6mi,0.11,1.79,11.29,0.15,1.59,0.05,0.10,3.93,18.90,1.59,0.71,0.50,0.00,0.00,0.85,0.00,0.00,1.74,0.00,0.00,0.00,,0 0 0
67257950,Víctor Gómez,ESP,Feyenoord,,Eredivisie,D (R),27,$29M - $42M,0.01,-0.32,21.00,4.00,0.08,1.61,0.00,0.01,0.00,0.18,0.38,1.58,12.72,7.8mi,0.14,2.85,17.76,0.62,3.36,0.10,0.14,11.42,13.51,2.78,0.84,0.29,0.00,0.00,0.86,0.00,0.00,4.29,0.00,0.00,0.00,Inj,0 0 0
18107452,Marco Kana,BEL,RSC Anderlecht,COD,Jupiler Pro League,DM,24,$29M - $40M,0.06,-1.50,38.00,3.00,0.07,0.05,0.03,0.06,0.02,0.21,0.17,1.16,9.57,8.2mi,0.10,0.85,11.70,0.38,1.51,0.35,0.05,15.46,5.89,2.22,0.70,0.62,0.00,0.00,0.91,0.00,0.00,5.27,0.00,0.00,0.00,,0 0 0
20046847,Faris,CMR,OM,,Ligue 1 Uber Eats,ST (C),26,$29M - $35M,0.37,4.35,40.00,18.00,0.11,0.00,0.17,0.37,0.55,0.06,0.04,0.46,6.72,7.2mi,0.00,1.39,6.12,0.21,1.27,0.08,0.04,2.37,24.58,1.01,0.73,0.34,0.00,0.00,0.83,0.00,0.00,0.72,0.00,0.00,0.00,,0 0 0
29233183,Liam Gibbs,ENG,Norwich,,Sky Bet Championship,M (C),24,$29M - $35M,0.05,0.75,31.00,3.00,0.12,0.23,0.17,0.05,0.07,0.27,0.42,1.50,9.31,8.2mi,0.14,0.77,12.52,0.37,1.52,0.00,0.09,12.87,5.66,2.18,0.78,0.44,0.00,0.00,0.89,0.00,0.00,5.52,0.00,0.00,0.00,Ask,0 0 0
70110533,Yunus Akgün,TUR,Galatasaray,,Turkish Super League,AM (R),26,$29M - $34M,0.24,2.14,55.00,10.00,0.11,0.65,0.13,0.24,0.30,0.19,0.22,1.40,12.33,7.8mi,0.19,3.63,14.43,0.19,1.64,0.03,0.00,4.36,15.74,2.40,0.87,0.14,0.00,0.00,0.85,0.00,0.00,2.50,0.00,0.00,0.00,,0 0 0
29174737,Liam Kitching,IRL,Coventry,ENG,Sky Bet Championship,D (C),27,$29M - $34M,0.06,-1.61,10.00,3.00,0.10,0.07,0.04,0.06,0.02,0.06,0.16,0.41,3.05,7.1mi,0.37,0.23,6.04,0.62,1.72,1.03,0.30,15.93,3.90,1.22,0.82,0.75,0.00,0.00,0.90,0.00,0.00,3.90,0.00,0.00,0.00,,0 0 0
37060938,Wouter Burger,NED,Stoke,,Sky Bet Championship,M (C),26,$28M - $42M,0.08,0.01,40.00,1.00,0.10,0.03,0.10,0.08,0.08,0.13,0.26,1.16,11.21,7.9mi,0.06,1.13,12.11,0.52,1.96,0.13,0.10,11.41,10.20,2.04,0.76,0.56,0.00,0.00,0.88,0.00,0.00,4.33,0.00,0.00,0.00,,0 0 0
29191598,Morgan Whittaker,ENG,Plymouth,,Sky Bet Championship,AM (R),26,$28M - $41M,0.19,-3.07,44.00,11.00,0.12,1.10,0.07,0.19,0.11,0.25,0.41,1.62,12.16,7.8mi,0.18,2.66,16.38,0.44,2.06,0.05,0.00,5.62,13.86,1.81,0.87,0.45,0.00,0.00,0.82,0.00,0.00,4.14,0.00,0.00,0.00,,0 0 0
49061282,Mohamed Kaba,FRA,Salento,GUI,Italian Serie A,DM,25,$28M - $41M,0.12,-1.82,37.00,2.00,0.12,0.12,0.06,0.12,0.06,0.20,0.43,1.04,10.14,7.7mi,0.18,1.28,11.84,0.43,1.61,0.24,0.03,11.81,8.80,2.19,0.77,0.45,0.00,0.00,0.88,0.00,0.00,4.05,0.00,0.00,0.00,Wnt,0 0 0
29186418,Jack Clarke,ENG,Sunderland,,English Premier Division,AM (L),26,$28M - $41M,0.23,1.55,33.00,9.00,0.13,0.67,0.17,0.20,0.30,0.25,0.80,1.56,17.20,8.7mi,0.14,3.63,16.90,0.38,2.74,0.04,0.00,9.48,16.99,3.08,0.86,0.27,0.00,0.00,0.82,0.00,0.00,2.87,0.00,0.00,0.00,,0 0 0
83335582,Diego Callai,BRA,Sporting CP,ITA,Portuguese Premier League,GK,22,$28M - $40M,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.00,3.9mi,0.00,0.00,0.00,0.00,0.02,0.00,0.00,5.13,7.62,0.02,0.50,0.00,0.88,0.50,0.68,0.77,0.51,0.10,1.00,0.30,0.68,,0 0 0
93121623,Sebastian Nanasi,SWE,Union Berlin,HUN,Bundesliga,AM (C),24,$28M - $35M,0.23,-3.05,16.00,9.00,0.12,0.31,0.05,0.23,0.09,0.18,0.27,1.29,10.74,8.1mi,0.08,1.43,12.21,0.22,1.34,0.00,0.00,10.96,16.40,1.60,0.73,0.11,0.00,0.00,0.83,0.00,0.00,2.14,0.00,0.00,0.00,,0 0 0
83320123,Renato Veiga,POR,FC Porto,CPV,Portuguese Premier League,DM,23,$28M - $34M,0.07,1.99,39.00,3.00,0.09,0.22,0.15,0.07,0.12,0.11,0.14,1.40,9.92,8.0mi,0.25,1.76,12.87,0.46,2.00,0.27,0.05,13.43,11.64,2.13,0.81,0.49,0.00,0.00,0.86,0.00,0.00,3.94,0.00,0.00,0.00,,0 0 0
28121369,Armando Broja,ALB,Valencia,ENG,Spanish First Division,ST (C),25,$28M - $34M,0.30,2.37,32.00,1.00,0.08,0.00,0.14,0.30,0.50,0.08,0.08,0.84,8.56,7.6mi,0.00,2.18,9.31,0.17,1.68,0.00,0.00,4.19,16.44,1.26,0.83,0.42,0.00,0.00,0.86,0.00,0.00,1.26,0.00,0.00,0.00,,0 0 0
83273689,Adrian Bajrami,ALB,ASSE,SUI,Ligue 1 Uber Eats,D (C),25,$28M - $34M,0.02,-0.76,10.00,0.00,0.13,0.00,0.00,0.02,0.00,0.08,0.10,0.36,3.02,7.2mi,0.00,0.10,5.28,0.59,2.07,0.79,0.62,15.21,3.08,1.51,0.84,0.70,0.00,0.00,0.94,0.00,0.00,4.66,0.00,0.00,0.00,,0 0 0
2000108031,Will Lankshear,ENG,Sheff Utd,,Sky Bet Championship,ST (C),22,$28M - $34M,0.45,-1.98,78.00,23.00,0.11,0.03,0.10,0.45,0.38,0.07,0.24,0.42,7.06,7.7mi,0.10,1.40,6.75,0.24,1.05,0.03,0.00,2.87,12.27,1.33,0.81,0.24,0.00,0.00,0.82,0.00,0.00,0.59,0.00,0.00,0.00,,0 0 0
2000021340,Taylor Booth,USA,Borussia Dortmund,ITA,Bundesliga,AM (R),25,$27M - $41M,0.30,-0.98,38.00,12.00,0.13,0.55,0.12,0.30,0.27,0.17,0.36,1.39,12.97,7.7mi,0.11,3.09,14.82,0.36,1.55,0.00,0.03,4.21,21.13,2.33,0.83,0.16,0.00,0.00,0.83,0.00,0.00,2.94,0.00,0.00,0.00,,0 0 0
37054408,Joël Piroe,NED,Leeds,SUR,Sky Bet Championship,ST (C),27,$27M - $40M,0.53,-0.68,40.00,6.00,0.12,0.07,0.11,0.53,0.48,0.20,0.21,1.38,6.94,7.1mi,0.14,0.48,6.53,0.07,0.62,0.21,0.00,1.93,18.08,1.10,0.73,0.36,0.00,0.00,0.89,0.00,0.00,1.17,0.00,0.00,0.00,,0 0 0
16337140,Nikolas Sattlberger,AUT,Ajax,,Eredivisie,DM,23,$27M - $40M,0.05,-0.38,29.00,0.00,0.09,0.11,0.07,0.05,0.04,0.17,0.28,0.98,9.42,8.1mi,0.23,0.53,11.66,0.32,1.51,0.46,0.14,12.33,5.71,2.17,0.79,0.64,0.00,0.00,0.88,0.00,0.00,4.48,0.00,0.00,0.00,,0 0 0
18097160,Albert Sambi Lokonga,BEL,Villarreal,COD,Spanish First Division,DM,27,$27M - $40M,0.14,-0.60,8.00,0.00,0.13,0.17,0.08,0.14,0.09,0.09,0.00,1.21,11.40,7.8mi,0.15,1.30,12.01,0.35,1.81,0.00,0.17,16.50,9.24,2.42,0.76,0.45,0.00,0.00,0.90,0.00,0.00,2.85,0.00,0.00,0.00,Wnt,0 0 0
28120046,Taylor Harwood-Bellis,ENG,Coventry,,Sky Bet Championship,D (C),25,$27M - $40M,0.03,0.61,23.00,1.00,0.08,0.16,0.11,0.03,0.05,0.12,0.07,0.61,4.11,7.2mi,0.36,0.33,6.61,0.72,2.03,0.79,0.26,16.29,4.04,1.43,0.79,0.75,0.00,0.00,0.89,0.00,0.00,4.32,0.00,0.00,0.00,,0 0 0
49056280,Malo Gusto,FRA,Chelsea,,English Premier Division,D (R),23,$27M - $40M,0.04,-0.55,10.00,0.00,0.09,0.15,0.00,0.04,0.00,0.17,0.30,0.67,9.74,8.9mi,0.05,2.68,18.95,0.59,2.60,0.07,0.15,14.05,11.82,2.97,0.82,0.42,0.00,0.00,0.87,0.00,0.00,7.51,0.00,0.00,0.00,Wnt,0 0 0
14207820,Ezequiel Bullaude,ARG,TSG Hoffenheim,ITA,Bundesliga,AM (C),26,$27M - $39M,0.27,-3.16,23.00,7.00,0.13,0.17,0.08,0.27,0.17,0.07,0.17,1.13,10.53,8.0mi,0.14,0.99,13.51,0.20,0.99,0.00,0.03,11.42,16.36,1.75,0.73,0.21,0.00,0.00,0.88,0.00,0.00,2.48,0.00,0.00,0.00,,0 0 0
49050736,Adrien Truffert,FRA,Rennes,,Ligue 1 Uber Eats,D (L),25,$27M - $38M,0.02,-0.53,33.00,5.00,0.13,0.86,0.00,0.02,0.00,0.09,0.15,1.18,13.13,8.0mi,0.15,2.45,15.05,0.77,2.96,0.06,0.06,10.82,16.59,2.72,0.77,0.42,0.00,0.00,0.87,0.00,0.00,5.88,0.00,0.00,0.00,Wnt,0 0 0
91172547,Luca Kilian,GER,1. FC Köln,,Bundesliga,D (C),27,$27M - $34M,0.03,-0.84,14.00,1.00,0.08,0.00,0.00,0.03,0.00,0.05,0.09,0.36,3.61,7.3mi,0.00,0.21,6.06,0.60,1.52,0.93,0.30,15.37,4.06,1.40,0.84,0.67,0.00,0.00,0.92,0.00,0.00,4.48,0.00,0.00,0.00,,0 0 0
67248339,Gaspar,ESP,S. Gijón,,Spanish Second Division,M (L),27,$27M - $34M,0.14,5.75,43.00,11.00,0.09,0.61,0.21,0.14,0.34,0.35,0.51,1.42,12.87,7.8mi,0.25,2.33,14.56,0.27,1.82,0.07,0.07,5.71,13.51,2.26,0.87,0.19,0.00,0.00,0.85,0.00,0.00,3.07,0.00,0.00,0.00,,0 0 0
53146811,Hugo Vetlesen,NOR,Club Brugge,FRA,Jupiler Pro League,M (C),27,$27M - $33M,0.08,-2.77,33.00,4.00,0.08,0.08,0.00,0.08,0.00,0.20,0.22,0.93,10.62,8.2mi,0.13,1.07,12.68,0.16,1.78,0.00,0.05,13.28,6.17,2.50,0.82,0.26,0.00,0.00,0.90,0.00,0.00,5.54,0.00,0.00,0.00,,0 0 0
83111519,Daniel Bragança,POR,Montpellier,,Ligue 2 BKT,DM,27,$27M - $33M,0.08,0.72,33.00,2.00,0.10,0.14,0.13,0.08,0.10,0.24,0.38,1.21,9.54,8.1mi,0.00,0.55,11.19,0.38,1.27,0.07,0.03,17.08,4.31,1.96,0.70,0.34,0.00,0.00,0.90,0.00,0.00,5.89,0.00,0.00,0.00,,0 0 0
43424893,Lorenzo Colombo,ITA,Casciavit,,Italian Serie A,ST (C),25,$27M - $32M,0.45,1.41,26.00,16.00,0.10,0.14,0.12,0.45,0.55,0.07,0.14,0.48,7.39,7.5mi,0.50,1.16,6.98,0.21,0.82,0.07,0.00,1.64,16.84,1.57,0.88,0.38,0.00,0.00,0.84,0.00,0.00,0.41,0.00,0.00,0.00,Wnt,0 0 0
49048598,Josué Casimir,FRA,Havre AC,GLP,Ligue 1 Uber Eats,AM (R),25,$26M - $39M,0.16,-2.49,35.00,11.00,0.08,0.39,0.04,0.16,0.07,0.11,0.32,1.43,12.50,7.7mi,0.12,2.57,14.61,0.39,2.14,0.04,0.14,4.61,19.50,2.54,0.80,0.29,0.00,0.00,0.83,0.00,0.00,2.75,0.00,0.00,0.00,,0 0 0
29156396,Josh Tymon,ENG,Swansea,,Sky Bet Championship,D (L),27,$26M - $39M,0.02,-0.96,54.00,1.00,0.07,0.92,0.00,0.02,0.00,0.16,0.17,0.88,9.21,8.0mi,0.23,2.21,16.51,0.69,3.11,0.06,0.15,14.84,10.37,2.60,0.83,0.53,0.00,0.00,0.89,0.00,0.00,6.66,0.00,0.00,0.00,,0 0 0
2000055184,Bilal El Khannouss,MAR,KRC Genk,BEL,Jupiler Pro League,AM (C),22,$26M - $37M,0.26,-4.19,46.00,8.00,0.14,0.11,0.07,0.26,0.14,0.06,0.22,1.48,11.04,8.2mi,0.12,1.43,13.17,0.25,1.54,0.11,0.08,12.36,14.99,1.82,0.83,0.23,0.00,0.00,0.86,0.00,0.00,2.40,0.00,0.00,0.00,,0 0 0
27132198,Morten Frendrup,DEN,Genoa,,Italian Serie A,M (C),26,$26M - $36M,0.10,-1.77,12.00,3.00,0.11,0.21,0.04,0.10,0.03,0.21,0.31,1.40,11.55,7.8mi,0.18,0.73,12.67,0.24,1.43,0.07,0.07,16.33,10.92,2.27,0.83,0.53,0.00,0.00,0.89,0.00,0.00,2.97,0.00,0.00,0.00,,0 0 0
2000253243,Christopher Bonsu Baah,GHA,Sunderland,,English Premier Division,AM (R),22,$26M - $32M,0.19,0.74,45.00,13.00,0.14,0.78,0.16,0.19,0.21,0.24,0.78,1.94,16.16,8.6mi,0.15,3.47,15.03,0.21,1.94,0.00,0.00,7.64,16.83,2.97,0.82,0.13,0.00,0.00,0.82,0.00,0.00,3.01,1.00,0.00,0.00,,0 0 0
67256515,Antonio Blanco,ESP,Feyenoord,,Eredivisie,M (C),26,$26M - $32M,0.03,-0.72,10.00,0.00,0.12,0.17,0.00,0.03,0.00,0.14,0.26,0.99,10.50,7.9mi,0.57,0.73,11.57,0.65,1.16,0.00,0.04,12.52,6.45,2.71,0.84,0.42,0.00,0.00,0.88,0.00,0.00,4.95,0.00,0.00,0.00,Wnt,0 0 0
53170349,Odin Thiago Holm,NOR,Celtic,,cinch Premiership,AM (C),24,$26M - $31M,0.17,4.05,15.00,5.00,0.09,0.08,0.19,0.17,0.34,0.22,0.30,1.31,10.29,8.4mi,0.14,1.95,13.21,0.25,1.69,0.00,0.00,12.49,16.35,1.27,0.75,0.19,0.00,0.00,0.83,0.00,0.00,1.95,0.00,0.00,0.00,,0 0 0
16283659,Yusuf Demir,AUT,Galatasaray,TUR,Turkish Super League,AM (C),23,$25M - $31M,0.18,1.07,34.00,9.00,0.10,0.23,0.12,0.18,0.21,0.12,0.13,1.69,10.33,8.1mi,0.18,1.82,12.07,0.08,1.48,0.00,0.08,10.25,15.65,2.05,0.78,0.18,0.00,0.00,0.84,0.00,0.00,2.41,0.00,0.00,0.00,,0 0 0
12093439,Lamine Camara,SEN,BRG,,Portuguese Premier League,M (C),23,$25M - $31M,0.10,-0.22,31.00,5.00,0.11,0.27,0.10,0.10,0.09,0.22,0.36,1.07,8.92,7.8mi,0.19,1.40,13.04,0.24,1.79,0.06,0.06,11.75,11.72,1.82,0.65,0.39,0.00,0.00,0.85,0.00,0.00,3.34,1.00,0.00,0.00,Wnt,0 0 0
14239273,Exequiel Zeballos,ARG,Real San Sebastián,,Spanish First Division,AM (L),25,$25M - $30M,0.34,-0.09,18.00,2.00,0.14,0.59,0.14,0.34,0.34,0.26,0.51,1.27,12.57,6.8mi,0.06,3.96,12.23,0.25,2.11,0.00,0.00,2.61,18.98,2.45,0.94,0.18,0.00,0.00,0.85,0.00,0.00,2.11,0.00,0.00,0.00,,0 0 0
70111181,Emirhan Topçu,TUR,Galatasaray,,Turkish Super League,D (C),26,$25M - $30M,0.09,0.54,13.00,1.00,0.13,0.03,0.15,0.09,0.11,0.04,0.11,0.16,3.64,7.2mi,0.20,0.19,5.76,0.19,1.90,1.00,0.27,19.55,2.31,1.44,0.73,0.69,0.00,0.00,0.93,0.00,0.00,4.29,1.00,0.00,0.00,,0 0 0
83111513,Nuno Moreira,POR,Casa Pia,,Portuguese Premier League,AM (L),27,$25M - $30M,0.19,1.83,43.00,12.00,0.09,1.17,0.12,0.19,0.25,0.27,0.49,2.05,12.70,7.4mi,0.26,2.94,14.17,0.31,1.90,0.00,0.00,6.41,15.79,1.93,0.79,0.19,0.00,0.00,0.86,0.00,0.00,3.34,0.00,0.00,0.00,,0 0 0
2000021407,Samuele Vignato,ITA,Brianza,BRA,Italian Serie A,AM (C),23,$25M - $30M,0.19,-0.15,44.00,9.00,0.11,0.13,0.11,0.19,0.19,0.14,0.22,0.92,10.56,8.0mi,0.07,1.71,12.55,0.19,1.08,0.00,0.03,7.21,16.25,2.25,0.90,0.17,0.00,0.00,0.84,0.00,0.00,1.87,0.00,0.00,0.00,,0 0 0
67246433,Monchu,ESP,Valladolid,,Spanish First Division,M (C),27,$25M - $29M,0.18,-4.45,22.00,4.00,0.17,1.31,0.03,0.15,0.03,0.14,0.33,2.45,10.42,8.0mi,0.17,0.95,11.60,0.29,1.73,0.10,0.03,12.35,13.49,2.12,0.79,0.15,0.00,0.00,0.86,0.00,0.00,3.92,0.00,0.00,0.00,,0 0 0
29219115,Flavien-Enzo Boyomo,CMR,Valladolid,FRA,Spanish First Division,D (C),25,$25M,0.02,-0.86,14.00,0.00,0.12,0.00,0.00,0.02,0.00,0.04,0.11,0.23,2.95,7.1mi,0.00,0.14,5.21,0.52,1.83,0.49,0.23,15.44,2.12,1.20,0.74,0.55,0.00,0.00,0.92,0.00,0.00,4.33,0.00,0.00,0.00,,0 0 0
53151876,Joshua Kitolano,NOR,Sparta Rotterdam,COD,Eredivisie,M (C),25,$24M - $35M,0.06,1.89,28.00,4.00,0.12,0.09,0.22,0.04,0.12,0.13,0.29,1.23,11.43,7.9mi,0.09,0.82,11.96,0.21,1.29,0.06,0.03,11.17,12.31,2.29,0.70,0.18,0.00,0.00,0.88,0.00,0.00,3.22,0.00,0.00,0.00,,0 0 0
37062676,Michal Sadílek,CZE,FC Utrecht,,Eredivisie,M (C),27,$24M - $35M,0.01,-0.54,29.00,1.00,0.08,0.13,0.00,0.01,0.00,0.04,0.16,0.96,9.02,8.2mi,0.09,0.53,15.93,0.43,2.51,0.24,0.13,13.45,10.09,3.12,0.76,0.46,0.00,0.00,0.91,0.00,0.00,6.22,0.00,0.00,0.00,,0 0 0
84161623,Aurèle Amenda,SUI,Eintracht Frankfurt,CMR,Bundesliga,D (C),23,$24M - $30M,0.05,-0.67,5.00,0.00,0.07,0.07,0.00,0.05,0.00,0.01,0.07,0.29,2.94,7.3mi,0.33,0.00,6.61,0.44,2.06,1.18,0.44,13.67,3.38,1.25,0.89,0.78,0.00,0.00,0.94,0.00,0.00,4.48,0.00,0.00,0.00,Wnt,0 0 0
83283239,Tiago Santos,POR,LOSC,,Ligue 1 Uber Eats,AM (R),24,$24M - $29M,0.12,0.30,26.00,0.00,0.12,0.45,0.13,0.12,0.14,0.13,0.09,0.77,9.68,7.9mi,0.20,2.48,14.27,0.59,2.84,0.32,0.05,11.30,15.35,2.12,0.73,0.50,0.00,0.00,0.90,0.00,0.00,5.22,0.00,0.00,0.00,,0 0 0
39046379,Arnór Sigurðsson,ISL,Blackburn,,Sky Bet Championship,AM (L),27,$24M - $29M,0.24,-1.62,51.00,7.00,0.12,0.51,0.09,0.24,0.18,0.23,0.43,2.02,12.56,7.9mi,0.15,2.20,12.78,0.11,1.59,0.04,0.07,6.39,15.60,2.45,0.75,0.25,0.00,0.00,0.85,0.00,0.00,3.00,0.00,0.00,0.00,,0 0 0
28106683,Nathan Tella,NGA,TSG Hoffenheim,ENG,Bundesliga,AM (R),27,$24M - $29M,0.20,-0.43,29.00,7.00,0.11,0.23,0.10,0.20,0.19,0.19,0.38,0.98,13.70,8.3mi,0.08,3.16,16.49,0.34,1.96,0.00,0.04,4.93,19.50,2.63,0.83,0.21,0.00,0.00,0.84,0.00,0.00,2.15,0.00,0.00,0.00,,0 0 0
